time,x1_original,x1_drifted,x1_amplitude_scaled,x1_lowfreq,x2_original,x2_drifted,x2_amplitude_scaled,x2_lowfreq,v1_original,v1_drifted,v1_amplitude_scaled,v1_lowfreq,v2_original,v2_drifted,v2_amplitude_scaled,v2_lowfreq,a1_original,a1_drifted,a1_amplitude_scaled,a1_lowfreq,a2_original,a2_drifted,a2_amplitude_scaled,a2_lowfreq
28.36,0.0073104045843666475,0.03567040458436665,0.01096560687654997,-0.009350391279875588,-0.0018465021432092664,0.026513497856790733,-0.0027697532148138995,0.0006105366209257366,-0.014919051960389347,0.013440948039610653,-0.02237857794058402,0.005608149723797221,0.020112491853496287,0.04847249185349629,0.030168737780244433,-0.01008917321149931,-0.1646731131194415,-0.1363131131194415,-0.24700966967916224,0.19311319180687597,0.0915690672757645,0.1199290672757645,0.13735360091364673,-0.09960927900801506
28.37,0.0071531104593306,0.035523110459330605,0.010729665688995901,-0.009318095348731556,-0.0016408894980030758,0.026729110501996927,-0.0024613342470046137,0.0005579247365463504,-0.01653977304682011,0.011830226953179892,-0.024809659570230166,0.0065678524986739805,0.021010037187741807,0.04938003718774181,0.03151505578161271,-0.010583106347558161,-0.15947110416671129,-0.13110110416671128,-0.23920665625006693,0.191941154340147,0.08793999957333945,0.11630999957333946,0.1319099993600092,-0.09876020085277872
28.38,0.0069798793893050695,0.03535987938930507,0.010469819083957605,-0.00928476922766959,-0.0014264890340304902,0.02695351096596951,-0.0021397335510457355,0.0005047840263456299,-0.01810644095828607,0.010273559041713929,-0.027159661437429105,0.007526159168373565,0.021870055606775303,0.0502500556067753,0.03280508341016296,-0.011076043916678107,-0.15386247812648052,-0.12548247812648053,-0.23079371718972078,0.19074322481685468,0.08406368423335975,0.11244368423335975,0.12609552635003962,-0.09789553254015006
28.39,0.006791271859802681,0.03518127185980268,0.010186907789704021,-0.00924294086018606,-0.0012036881458554886,0.027186311854144513,-0.0018055322187832327,0.0004472788709402685,-0.019615064942191653,0.00877493505780835,-0.02942259741328748,0.008472943661398018,0.022690122028225013,0.05108012202822501,0.03403518304233752,-0.011560764985816251,-0.147862318654636,-0.119472318654636,-0.221793477981954,0.18933160591315612,0.07994960005658185,0.10833960005658184,0.11992440008487276,-0.09690219731126229
28.400000000000002,0.006587887484175011,0.034987887484175015,0.009881831226262516,-0.009200110078314184,-0.0009728979892034791,0.027427102010796522,-0.0014593469838052188,0.00038926201465825776,-0.021061810183342473,0.007338189816657528,-0.031592715275013714,0.009418095596621653,0.023467909302176865,0.05186790930217687,0.0352018639532653,-0.012044350084770726,-0.14148672957552816,-0.11308672957552815,-0.21223009436329224,0.18789482171292193,0.07560785473378819,0.10400785473378818,0.11341178210068228,-0.09589372092972451
28.41,0.006370363394287342,0.03478036339428734,0.009555545091431012,-0.0091488903410299,-0.0007345524708470821,0.027675447529152918,-0.0011018287062706232,0.0003269628616648176,-0.02244300779419129,0.005966992205808711,-0.03366451169128694,0.010349585063749368,0.024201194369102536,0.05261119436910254,0.0363017915536538,-0.012518428533250461,-0.13475279259423517,-0.10634279259423517,-0.20212918889135276,0.18624743543730657,0.07104915865134565,0.09945915865134565,0.10657373797701847,-0.09475853202694767
28.42,0.006139372533469272,0.034559372533469274,0.009209058800203907,-0.009096698071916227,-0.0004891071782618403,0.02793089282173816,-0.0007336607673927605,0.00026417036202805384,-0.02375516436942273,0.00466483563057727,-0.03563274655413409,0.011279216205882318,0.024887864147945818,0.05330786414794582,0.03733179622191873,-0.01299123715780913,-0.12767852245205297,-0.09925852245205297,-0.19151778367807945,0.1845756650586693,0.06628479711731118,0.09470479711731118,0.09942719567596678,-0.09360868433944364
28.43,0.005895621856222674,0.03432562185622268,0.008843432784334011,-0.009036251592782436,-0.00023703825182743682,0.028192961748172565,-0.00035555737774115525,0.00019719066081748377,-0.024994971079896948,0.0034350289201030525,-0.03749245661984542,0.012193075108657867,0.02552592113893488,0.05395592113893488,0.03828888170840232,-0.013453268352757678,-0.12028281964279047,-0.09185281964279048,-0.1804242294641857,0.182696938463884,0.061326601080501995,0.089756601080502,0.09198990162075299,-0.09233442253599972
28.44,0.005639850439412303,0.03407985043941231,0.008459775659118454,-0.008974864431057257,2.1158797499402772e-05,0.028461158797499407,3.173819624910416e-05,0.00012973711082341896,-0.026159312282177292,0.002280687717822711,-0.039238968423265935,0.013104861071624127,0.026113488726433036,0.054553488726433036,0.03917023308964955,-0.013913902704784506,-0.11258542081327844,-0.08414542081327843,-0.16887813121991765,0.1807946597294361,0.056186916419129034,0.08462691641912903,0.08428037462869355,-0.09104601541880697
28.45,0.005372827509895742,0.03382282750989574,0.008059241264843614,-0.00890537895702309,0.00028497032197119255,0.02873497032197119,0.0004274554829567888,5.8204208802450563e-05,-0.02724527362113484,0.0012047263788651612,-0.04086791043170226,0.013998801148921432,0.02664881616792491,0.055098816167924905,0.03997322425188736,-0.014362511671913158,-0.10460684697823075,-0.07615684697823075,-0.15691027046734612,0.17868962122854054,0.05087857187924564,0.07932857187924564,0.07631785781886846,-0.08963583165825552
28.46,0.005095350393767827,0.03355535039376783,0.0076430255906517405,-0.008834986472151304,0.000553865819091092,0.029013865819091093,0.000830798728636638,-1.3781988495197784e-05,-0.028250149604448264,0.0002098503955517382,-0.04237522440667239,0.014890465245767454,0.027130283256054967,0.05559028325605497,0.040695424884082454,-0.014809603869239083,-0.09636834968445446,-0.06790834968445446,-0.14455252452668169,0.17656190955812565,0.04541484574676659,0.07387484574676659,0.06812226862014989,-0.08821204483656112
28.47,0.004808242392599577,0.03327824239259958,0.007212363588899365,-0.008756672366652521,0.0008272992585788161,0.029297299258578813,0.0012409488878682242,-8.972716077398105e-05,-0.029171450629201734,-0.0007014506292017351,-0.0437571759438026,0.015762251461396287,0.027556404641489837,0.056026404641489835,0.04133460696223475,-0.015243448953676022,-0.08789185526623944,-0.05942185526623944,-0.13183778289935916,0.17423617572535807,0.0398094313402075,0.0682794313402075,0.05971414701031125,-0.0866694520587856
28.48,0.004512350592242484,0.03299235059224249,0.006768525888363726,-0.008677486597144126,0.0011047104508125768,0.02958471045081258,0.0016570656762188653,-0.00016610410914289007,-0.030006909442216817,-0.0015269094422168152,-0.045010364163325225,0.016631570605992237,0.027925833805262326,0.05640583380526233,0.04188875070789349,-0.015675664662624336,-0.07919990733677718,-0.05071990733677717,-0.11879986100516576,0.17188869085149988,0.0340764014142899,0.0625564014142899,0.05111460212143485,-0.08511382488001276
28.490000000000002,0.004208543609945221,0.03269854360994522,0.006312815414917832,-0.008590576278813968,0.0013855264531897461,0.02987552645318975,0.0020782896797846193,-0.00024630738904708255,-0.03075448701723578,-0.002264487017235778,-0.04613173052585367,0.017479026956629586,0.02823736667017153,0.05672736667017153,0.042356050005257294,-0.01609344110326091,-0.07031560766701528,-0.04182560766701528,-0.10547341150052292,0.16934845168587892,0.028230171567550713,0.056720171567550715,0.04234525735132607,-0.08344268889766995
28.5,0.0038977092856910295,0.03239770928569103,0.0058465639285365445,-0.008502831168196199,0.0016691630107493853,0.030169163010749386,0.002503744516124078,-0.00032692005179744694,-0.03141237783360264,-0.0029123778336026356,-0.047118566750403955,0.01832383742510738,0.02848994484175629,0.05698994484175629,0.04273491726263443,-0.016509483084324414,-0.06126255560635549,-0.03276255560635549,-0.09189383340953323,0.16678742284604062,0.022285462749401658,0.050785462749401655,0.03342819412410249,-0.08175911116398926
28.51,0.0035807523238097667,0.03209075232380977,0.00537112848571465,-0.008407578492271573,0.0019550260273098084,0.03046502602730981,0.0029325390409647126,-0.0004112144309446636,-0.03197901454264995,-0.003469014542649952,-0.04796852181397493,0.0191448525933666,0.02868265847032831,0.05719265847032831,0.04302398770549247,-0.016909926492295606,-0.05206478620310706,-0.02355478620310706,-0.07809717930466059,0.16403942553606563,0.016257262965002628,0.04476726296500263,0.024385894447503942,-0.07996364061327069
28.52,0.0032585918910484884,0.03177859189104849,0.004887887836572733,-0.008311529268298591,0.0022425130632941553,0.030762513063294156,0.003363769594941233,-0.0004958950185799836,-0.03245307200960576,-0.00393307200960576,-0.04867960801440864,0.01996305563027305,0.028814748726541054,0.057334748726541054,0.04322212308981158,-0.017308538049687964,-0.0427467071880544,-0.0142267071880544,-0.0641200607820816,0.1612716351802441,0.010160788277546046,0.03868078827754605,0.015241182416319068,-0.07815634249718757
28.53,0.002932159177398117,0.03146215917739812,0.004398238766097176,-0.008208208852343293,0.002531014856346767,0.03106101485634677,0.0037965222845201506,-0.0005841010634279591,-0.03283347072046852,-0.004303470720468518,-0.04925020608070278,0.02075558846814464,0.028885609883981308,0.05741560988398131,0.04332841482597196,-0.017690427781865477,-0.03333303498449791,-0.004803034984497908,-0.04999955247674687,0.1583231664126645,0.0040114432105047,0.0325414432105047,0.006017164815757051,-0.07624107788915539
28.54,0.00260239492607098,0.03114239492607098,0.00390359238910647,-0.008104131351066938,0.002819916860783165,0.03135991686078316,0.004229875291174747,-0.0006726694552205976,-0.03311937954495897,-0.004579379544958972,-0.04967906931743846,0.02154515572269784,0.028894791003298195,0.057434791003298194,0.04334218650494729,-0.0180703961079214,-0.0238487299135913,0.0046912700864087005,-0.03577309487038695,0.1553559324692146,-0.0021752193471273606,0.02636478065287264,-0.003262829020691041,-0.07431461895846579
