x1,x2,v1,v2,a1,a2
0.0046972577,-0.004724771,0.01966357,-0.014735099,-0.14138173,0.09379081
0.004867345,-0.004866377,0.018306468,-0.0138900485,-0.14617325,0.09694731
0.005022282,-0.005029127,0.01682976,-0.012879082,-0.1508875,0.1001966
0.0051633194,-0.0051671877,0.015329985,-0.011819373,-0.15518141,0.10308866
0.005294064,-0.005281602,0.013801288,-0.01077224,-0.15907827,0.10562977
0.0054050297,-0.0054189283,0.012134976,-0.009595633,-0.1627622,0.10820045
0.005506101,-0.0055359923,0.010367214,-0.008437669,-0.16604309,0.11044473
0.0055768103,-0.00563935,0.008715696,-0.007358091,-0.16857462,0.11220928
0.005655259,-0.005715214,0.0069966083,-0.0063229576,-0.17097682,0.11372702
0.0057021067,-0.005808908,0.0052352496,-0.0051965676,-0.17288297,0.11505202
0.005725078,-0.0058881445,0.0034192365,-0.0040545124,-0.17411841,0.11595828
0.0057397825,-0.0059419516,0.0016663398,-0.002987712,-0.1748663,0.116523504
0.005735561,-0.005980443,-6.380575e-05,-0.0019147357,-0.17503528,0.11676355
0.005715326,-0.006013837,-0.0018428235,-0.000821767,-0.17486434,0.11683962
0.0056692204,-0.0060451906,-0.0037618503,0.00035549238,-0.17415872,0.116692536
0.005604948,-0.006074868,-0.005666594,0.0015572109,-0.17312661,0.11641478
0.0055235163,-0.006079158,-0.0076644183,0.0028620667,-0.17156067,0.11574961
0.0054169004,-0.0060351333,-0.009597537,0.0041096676,-0.16909677,0.11432807
0.0052945917,-0.0059620366,-0.011335802,0.005288457,-0.16600534,0.11239344
0.0051478166,-0.005882055,-0.01309136,0.0065617394,-0.16229865,0.110029936
0.0050060055,-0.005821315,-0.014750743,0.007768879,-0.1587847,0.1078787
0.0048563536,-0.0057384856,-0.016473241,0.008915162,-0.15473759,0.10544657
0.0047013047,-0.005657795,-0.018019289,0.00993708,-0.15058093,0.103027016
0.0044890335,-0.0055789305,-0.019476172,0.010958111,-0.14552519,0.10024116
0.0042589484,-0.0054657287,-0.020903047,0.011952444,-0.13998555,0.09703655
0.004009982,-0.0053075124,-0.022463145,0.012922986,-0.13367142,0.0932405
0.003757749,-0.0051618717,-0.023902534,0.013856002,-0.1274683,0.08945828
0.0034740327,-0.0050181034,-0.025308993,0.014793306,-0.120532505,0.08528853
0.0032181726,-0.0048804814,-0.026562836,0.015562459,-0.11404734,0.0813628
0.002927403,-0.0047343555,-0.0277765,0.016288564,-0.10652837,0.07690142
0.00262654,-0.00457658,-0.028939547,0.0169561,-0.098592244,0.07218465
0.0023074716,-0.0044220467,-0.030025227,0.01761817,-0.09031878,0.067280896
0.002005932,-0.0042633405,-0.030926066,0.01816518,-0.08239346,0.06252155
0.0016845377,-0.0040862914,-0.031768538,0.01865973,-0.07399944,0.057468206
0.0013460382,-0.003906217,-0.03246522,0.01914778,-0.065350994,0.052213408
0.0009945373,-0.0037378191,-0.033074815,0.019629948,-0.05664373,0.046949867
0.0006304026,-0.0035241891,-0.033708427,0.020051721,-0.047109652,0.041017376
0.0002737973,-0.0033187422,-0.03418955,0.02042871,-0.037860934,0.035268646
-8.5636784e-05,-0.0031114987,-0.03455478,0.020748977,-0.028562099,0.029497815
-0.00041369954,-0.0029153153,-0.03482518,0.020958023,-0.020020235,0.02416374
-0.0007430342,-0.0027060166,-0.03496907,0.021093063,-0.01144129,0.01879341
-0.0010720757,-0.002496727,-0.035083562,0.021175321,-0.002868251,0.013418564
-0.0014290691,-0.0022533939,-0.035137825,0.02121637,0.0065690484,0.007498719
-0.0017662769,-0.002038049,-0.035092488,0.02118719,0.015452395,0.0020138156
-0.002100835,-0.0018348956,-0.03490452,0.021051932,0.024179753,-0.003324333
-0.002465428,-0.0016237498,-0.03471571,0.020902678,0.033614427,-0.0090621095
-0.0028485479,-0.0014152036,-0.034411386,0.020736359,0.043397054,-0.01495329
-0.003181248,-0.0012202754,-0.03402975,0.020530414,0.051957097,-0.020109197
-0.0035468584,-0.0009945349,-0.0334734,0.020187067,0.061451204,-0.025900016
-0.0039127134,-0.0007750696,-0.032792933,0.019787818,0.07089436,-0.03159843
-0.004254082,-0.0005513601,-0.03211882,0.019387214,0.07982031,-0.037013426
-0.0045919926,-0.00034706655,-0.03133966,0.01895647,0.08855053,-0.042268034
-0.0049033402,-0.00014873596,-0.030470096,0.018489523,0.09665427,-0.047187917
-0.0051599396,2.865991e-05,-0.029652199,0.018028403,0.103476636,-0.0513871
-0.005427189,0.000214939,-0.028681673,0.017449468,0.11058036,-0.055829156
-0.0056631956,0.00036848497,-0.027737446,0.016866008,0.116767995,-0.059664067
-0.0059207063,0.00050333526,-0.026652437,0.01622764,0.12319511,-0.06357184
-0.006168533,0.00066464546,-0.025458401,0.01547772,0.12970354,-0.06771537
-0.0064013316,0.0008113922,-0.024094706,0.014638412,0.13575257,-0.0715846
-0.006646421,0.0009645049,-0.022697974,0.013777787,0.14217186,-0.07568438
-0.006856458,0.0010874376,-0.021264818,0.012897386,0.14763732,-0.07913046
-0.0070658023,0.0012239339,-0.019743921,0.011966719,0.15319741,-0.08272208
-0.0072571696,0.0013531117,-0.018245978,0.0110438755,0.15841682,-0.08599984
-0.007443153,0.0014790364,-0.016674321,0.010054708,0.16351442,-0.08913207
-0.007593185,0.0015955224,-0.015403964,0.009237124,0.16790007,-0.091806546
-0.0077476227,0.0017007398,-0.013724878,0.008146934,0.17229545,-0.09444072
-0.007878485,0.0017964677,-0.012008013,0.0070441416,0.17611815,-0.09675258
-0.007979138,0.0018760716,-0.01047446,0.0060792128,0.17908359,-0.09855262
-0.008073402,0.0019382647,-0.008930832,0.0051136846,0.18163243,-0.1001271
-0.008139718,0.0019764015,-0.0071889083,0.0040557734,0.1832306,-0.101123996
-0.008195894,0.0020186603,-0.0054506613,0.00298903,0.18465738,-0.102092445
-0.00822232,0.0020615114,-0.0036670356,0.0019233194,0.1854898,-0.102690056
-0.00824592,0.0020774568,-0.0019676874,0.00094838394,0.18595953,-0.10304884
-0.008244659,0.0021107807,-0.00024433504,-6.3992426e-05,0.18606576,-0.10329125
-0.008229611,0.0021204345,0.001527629,-0.0011080296,0.18564129,-0.103188835
-0.008189204,0.002125716,0.0034258545,-0.0022285697,0.18469392,-0.10282764
-0.00813098,0.0021211153,0.005271118,-0.003316611,0.18335558,-0.102218784
-0.008047254,0.0020986313,0.0072254566,-0.0044650235,0.18135059,-0.10118942
-0.007941304,0.0020579633,0.009039318,-0.005531774,0.17885259,-0.09979795
-0.007823268,0.002010378,0.010710558,-0.0065457923,0.17613722,-0.09823214
-0.0076915533,0.0019619882,0.0122866845,-0.0075187986,0.17318751,-0.09650685
-0.0075519276,0.0018920089,0.013863718,-0.008492546,0.16990134,-0.09452372
-0.0074041635,0.0018138986,0.015369214,-0.009430435,0.16633987,-0.092354864
-0.0072377687,0.00172434,0.01687967,-0.010364009,0.16225131,-0.0898498
-0.0070722424,0.0016177921,0.01838509,-0.01125219,0.15785493,-0.08711229
-0.0068684006,0.001510916,0.019996496,-0.012174064,0.15257172,-0.083915174
-0.006655188,0.001419665,0.021468442,-0.013007217,0.14718734,-0.08078464
-0.0064207194,0.0013250428,0.022875119,-0.013774599,0.14143692,-0.07741007
-0.006190873,0.0012216907,0.024205994,-0.014507278,0.13569959,-0.0740076
-0.0059239515,0.0011172922,0.025517354,-0.015214368,0.1292688,-0.070256345
-0.0056445315,0.0009836333,0.026748057,-0.015873663,0.12222506,-0.0661083
-0.005345553,0.00081347197,0.027997287,-0.016521415,0.11451879,-0.061426327
-0.0050083264,0.0006581225,0.029119141,-0.0171242,0.106178895,-0.05650377
-0.0047060177,0.0005103245,0.030091735,-0.017663442,0.09869514,-0.052039657
-0.0043264036,0.00032702138,0.031115895,-0.018195141,0.08930856,-0.046400554
-0.0039526694,0.00013741874,0.03202669,-0.01866813,0.0801001,-0.04081951
-0.0036130126,-3.2264332e-05,0.032755442,-0.01905299,0.07168427,-0.035737287
-0.0032877966,-0.0002433481,0.033391144,-0.019309724,0.06316114,-0.030386748
-0.0029591946,-0.0004123446,0.033920545,-0.019565264,0.054901693,-0.025387079
-0.0026072974,-0.00057718484,0.034400247,-0.019767411,0.0462026,-0.020132681
-0.0022469796,-0.00074939104,0.034829345,-0.019945608,0.037242524,-0.014689024
-0.0018907521,-0.000917071,0.035145048,-0.0200647,0.028438967,-0.009355501
-0.0015258552,-0.0011065319,0.035411637,-0.020145688,0.019257676,-0.0037309346
-0.0011645091,-0.0013156558,0.03559275,-0.020174025,0.009980756,0.0020266008
-0.0007695219,-0.0015246316,0.035647586,-0.020152656,0.00010006153,0.008055732
-0.0003904453,-0.0017241355,0.035577714,-0.020039462,-0.009368085,0.01375325
9.967785e-06,-0.0019206151,0.035432924,-0.019868467,-0.01920589,0.019586027
