time,x1_original,x1_envelope,x1_triangle,x1_square,x2_original,x2_envelope,x2_triangle,x2_square,v1_original,v1_envelope,v1_triangle,v1_square,v2_original,v2_envelope,v2_triangle,v2_square,a1_original,a1_envelope,a1_triangle,a1_square,a2_original,a2_envelope,a2_triangle,a2_square
8.14,-0.009207229353052012,-0.005367453634696594,0.002551999999999975,-0.01,0.009408807689542258,0.00478282081885787,-0.007199999999999993,0.01,-0.008090378332465176,-0.003918734863090578,-0.013200000000000378,0.0,0.010640015203451203,0.005757896149132746,0.02000000000000035,0.0,0.03957804517674496,0.024095594263160408,7.771561172376096e-16,0.0,-0.09283066368817239,-0.04562924285678127,-2.6645352591003757e-15,0.0
8.15,-0.009286154021410179,-0.005405436076463082,0.002419999999999985,-0.01,0.009510565162951543,0.004838117813014326,-0.006999999999999983,0.01,-0.0076928588354075456,-0.0036773334048054163,-0.013200000000000364,0.0,0.009706458361358916,0.005298545787918274,0.020000000000000295,0.0,0.03991730946245137,0.02417961295170573,7.771561172376096e-16,0.0,-0.09383463933564296,-0.046220471766515336,-6.106226635438361e-14,0.0
8.16,-0.00936108652976016,-0.0054410003027927,0.002287999999999973,-0.01,0.009602936856769433,0.004888791734616233,-0.006799999999999995,0.01,-0.007292032143216165,-0.0034351426040564736,-0.013200000000000364,0.0,0.008763322416738384,0.0048334867138024595,0.01999999999999913,0.0,0.040239413114615874,0.024253466972299298,5.551115123125783e-14,0.0,-0.09474601152283302,-0.04677069372368797,0.0,0.0
8.17,-0.009431994664274499,-0.00547413892854421,0.0021559999999999835,-0.01,0.009685831611286307,0.004934787547290373,-0.006600000000000009,0.01,-0.006888070573115246,-0.0031922640653594403,-0.013199999999999254,0.0,0.007811538130902296,0.0043631319134445345,0.020000000000000295,0.0,0.04054421765932548,0.024317166751273128,0.0,0.0,-0.09556388083547174,-0.04727934176823287,6.106226635438361e-14,0.0
8.18,-0.009498847941222462,-0.005504845584099889,0.0020239999999999937,-0.01,0.009759167619387474,0.004976054372885122,-0.006399999999999998,0.01,-0.006481147790029673,-0.0029487992690310216,-0.013200000000000364,0.0,0.006852044800028989,0.0038878998784378227,0.02000000000000035,0.0,0.04083159205975989,0.024370726688208694,-5.484501741648273e-14,0.0,-0.09628744013536955,-0.04774588214803108,-5.839773109528323e-14,0.0
8.19,-0.00956161762007509,-0.005533114913924829,0.0018919999999999818,-0.01,0.009822872507286884,0.0050125455448591285,-0.00620000000000001,0.01,-0.006071438731920065,-0.002704849531595277,-0.01320000000000035,0.0,0.005885789328194946,0.0034082142704839336,0.01999999999999913,0.0,0.04110141277243545,0.024414165126788137,5.895284260759581e-14,0.0,-0.09691597535672267,-0.04816981485767888,-3.6193270602780103e-14,0.0
8.2,-0.00962027671586086,-0.005558942574731792,0.0017599999999999925,-0.01,0.009876883405951371,0.005044218658294799,-0.0060000000000000235,0.01,-0.005659119534580981,-0.002460515966495269,-0.013199999999999185,0.0,0.004913725292894577,0.0029245035812842657,0.01999999999999963,0.0,0.04135356380004779,0.024447504324163774,0.0,0.0,-0.09744886621117671,-0.04855067415566129,8.881784197001252e-14,0.0
8.21,-0.009674800010766716,-0.005582325233254737,0.0016279999999999804,-0.01,0.00992114701314478,0.005071035616484817,-0.00579999999999999,0.01,-0.005244367455919052,-0.0022158994451119685,-0.01320000000000035,0.0,0.0039368120039712795,0.0024372007873706414,0.020000000000000906,0.0,0.041587936741793674,0.024470770419511303,-5.895284260759581e-14,0.0,-0.09788558679988024,-0.04888802905883513,3.6193270602780103e-14,0.0
8.22,-0.009725164064979249,-0.005603260563634035,0.0014959999999999678,-0.01,0.009955619646030804,0.005092962674042217,-0.005599999999999979,0.01,-0.004827360799745051,-0.00197110055810501,-0.013200000000000364,0.0,0.0029560135568968415,0.0019467430001074981,0.02000000000000035,0.0,0.041804430839726764,0.02448399340074288,5.5844218138645374e-14,0.0,-0.09822570613228986,-0.0491814838139603,-8.881784197001252e-14,0.0
8.23,-0.009771347226761616,-0.0056217472444168365,0.0013639999999999785,-0.01,0.009980267284282716,0.0051099704764869655,-0.005399999999999992,0.01,-0.004408278839124535,-0.0017262195770971211,-0.013199999999999233,0.0,0.0019722978813255243,0.0014535711110914562,0.01999999999999913,0.0,0.04200295302192547,0.024487207069926423,-4.440892098500626e-16,0.0,-0.09846888855163316,-0.04943067834590582,-2.6645352591003757e-15,0.0
8.24,-0.009813329641761738,-0.005637784955175977,0.001231999999999989,-0.01,0.009995065603657314,0.005122034096264046,-0.005200000000000005,0.01,-0.003987301739306559,-0.0014813564167064919,-0.013200000000000371,0.0,0.0009866357858642205,0.000958129433189403,0.020000000000000295,0.0,0.042183417942882384,0.02448044900785537,-5.651035195342047e-14,0.0,-0.09861489406627276,-0.04963528868183848,6.106226635438361e-14,0.0
8.25,-0.009851093261547745,-0.005651374372750965,0.0010999999999999769,-0.01,0.01,0.005129133065150753,-0.004999999999999995,0.01,-0.0035646104802669054,-0.0012366105969400243,-0.013200000000000364,0.0,1.1102230246251565e-16,0.0004608653374547078,0.02000000000000035,0.0,0.04234574801992663,0.02446376053691965,5.695444116327053e-14,0.0,-0.09866357858641861,-0.0497950273509556,-5.706546346573305e-14,0.0
8.26,-0.009884621851367075,-0.005662517167114777,0.0009679999999999873,-0.01,0.009995065603657316,0.00513125140301314,-0.0048000000000000065,0.01,-0.003140386778908044,-0.0009920812059681094,-0.013199999999999233,0.0,-0.0009866357858641095,-3.7771113829687675e-05,0.019999999999999157,0.0,0.042489873466520584,0.024437186682810773,3.3306690738754696e-16,0.0,-0.09861489406629774,-0.04990964375929215,-5.551115123125783e-15,0.0
8.27,-0.009913900997125904,-0.005671215996870327,0.0008359999999999978,-0.01,0.009980267284282718,0.005128377642874159,-0.00460000000000002,0.01,-0.002714813010936512,-0.0007478668632838192,-0.013200000000000357,0.0,-0.001972297881325802,-0.0005373275377311137,0.02000000000000024,0.0,0.04261573232253549,0.02440077613533927,-5.46229728115577e-14,0.0,-0.09846888855163871,-0.04997892453913572,8.326672684688674e-14,0.0
