x1_original,x1_drifted,x1_amplitude_scaled,x1_lowfreq,x2_original,x2_drifted,x2_amplitude_scaled,x2_lowfreq,v1_original,v1_drifted,v1_amplitude_scaled,v1_lowfreq,v2_original,v2_drifted,v2_amplitude_scaled,v2_lowfreq,a1_original,a1_drifted,a1_amplitude_scaled,a1_lowfreq,a2_original,a2_drifted,a2_amplitude_scaled,a2_lowfreq
-0.0029364012,0.004421981,-0.004401421,0.00290179,0.0028807328,0.010216171,0.0043065134,-0.0013816602,-0.020889435,-0.013469409,-0.031455003,-0.027516523,0.01285545,0.020241711,0.019335665,0.017152201,0.0875113,0.094950266,0.13102877,-0.07178841,-0.058502555,-0.050699294,-0.087693,0.04243204
-0.0031260352,0.0042274334,-0.004689161,0.002765156,0.0030024503,0.010335887,0.004491797,-0.0012835119,-0.01998631,-0.012588868,-0.03006527,-0.027892465,0.012227467,0.019607054,0.01839079,0.017348781,0.09268159,0.09993656,0.13858156,-0.06807317,-0.06168805,-0.053884327,-0.092298,0.040120378
-0.0033319823,0.004013611,-0.005001847,0.0026211583,0.0031398272,0.010463119,0.004699044,-0.0011801616,-0.01899165,-0.011599045,-0.028567502,-0.028282458,0.011543566,0.01889949,0.017341625,0.017581405,0.09830427,0.10549472,0.14687875,-0.064183995,-0.065139666,-0.05743894,-0.09743812,0.037678234
-0.0036159984,0.0037289083,-0.0054266313,0.0024328665,0.0033274868,0.010642304,0.004976372,-0.00104842,-0.017838411,-0.010471208,-0.02686075,-0.028818099,0.010769131,0.01808859,0.01612814,0.017935295,0.10590403,0.11313523,0.15826379,-0.059107464,-0.06986876,-0.0623437,-0.104550645,0.034502007
-0.003808038,0.0035407725,-0.005705934,0.0022796667,0.0034470207,0.010761167,0.0051592565,-0.0009424926,-0.016597562,-0.009250745,-0.025002602,-0.029160844,0.009942169,0.017255124,0.014866047,0.018137058,0.11085009,0.11815209,0.16589087,-0.054907553,-0.07296206,-0.065513335,-0.10924307,0.031861026
-0.003971788,0.0033782525,-0.005944379,0.0021440114,0.003545174,0.010858134,0.0053035365,-0.00084834616,-0.015562729,-0.008245015,-0.023480857,-0.02946181,0.009240312,0.016557723,0.013798638,0.01829071,0.11505784,0.12240117,0.17223802,-0.051244467,-0.07558235,-0.06817015,-0.1131672,0.02951303
-0.0041337023,0.0032134028,-0.0061838683,0.0019936946,0.0036454927,0.010949854,0.0054537933,-0.0007435484,-0.014353002,-0.0070432285,-0.021678371,-0.029727861,0.008404729,0.01572733,0.01255923,0.018442795,0.11918256,0.12662849,0.17858435,-0.047186203,-0.078127205,-0.07073212,-0.11709362,0.026928457
-0.0042975694,0.0030525378,-0.006434576,0.0018084646,0.0037458607,0.011036393,0.0056002215,-0.0006153254,-0.012856943,-0.0055479985,-0.01941279,-0.029952506,0.007396621,0.01470261,0.011038732,0.018575486,0.123314686,0.13087913,0.18502343,-0.042197242,-0.080676734,-0.07333964,-0.12105626,0.023851508
-0.0044571212,0.0028971513,-0.006678092,0.0016029663,0.0038359554,0.011130521,0.0057439203,-0.0004782026,-0.01118939,-0.003883563,-0.016846653,-0.030220333,0.006278779,0.013586723,0.009369603,0.01870597,0.12740107,0.13505429,0.1913354,-0.036811393,-0.083176695,-0.07586923,-0.1247902,0.020470474
-0.004564317,0.0027862922,-0.0068387017,0.0014519254,0.003892535,0.011199854,0.0058454345,-0.00037506153,-0.009889568,-0.0026145354,-0.014834219,-0.030442975,0.0054035657,0.012733189,0.008095595,0.018790547,0.13029057,0.13791686,0.19568774,-0.03277741,-0.08493329,-0.07760604,-0.12719846,0.017868845
