x1,v1,a1
0.008613674,0.00014286973,-0.085836515
0.008701783,9.409834e-05,-0.08669493
0.008748849,9.1455855e-05,-0.0871395
0.008753537,0.00010632202,-0.087157786
0.008717484,0.000106505366,-0.08676805
0.008644788,5.87702e-05,-0.086014025
0.0085414285,-6.846259e-05,-0.08495895
0.008414721,-0.00030203737,-0.083679505
0.008272797,-0.00066057075,-0.082260236
0.008124196,-0.0011509961,-0.080788806
0.007977529,-0.0017659935,-0.079352245
0.007841205,-0.0024831921,-0.078033835
0.007723112,-0.0032667678,-0.07690994
0.007630194,-0.0040716804,-0.07604587
0.007567808,-0.004850307,-0.07548986
0.007538889,-0.0055606687,-0.07526515
0.007543064,-0.006174827,-0.075361766
0.0075759646,-0.0066856556,-0.075730175
0.0076290206,-0.007110257,-0.07627987
0.007689933,-0.007488905,-0.07688468
0.007743847,-0.007879383,-0.07739496
0.0077750823,-0.0083477,-0.07765522
0.0077691013,-0.008957164,-0.07752385
0.0077143568,-0.009758217,-0.076891296
0.0076036975,-0.0107811,-0.07569355
0.007435112,-0.012032323,-0.07391878
0.0072117266,-0.013494695,-0.07160641
0.006941091,-0.015129932,-0.06883908
0.006633914,-0.016882796,-0.06572922
0.0063024973,-0.018686173,-0.06240284
0.0059591453,-0.02046675,-0.058983393
0.0056148176,-0.022151183,-0.05557838
0.0052781794,-0.02367237,-0.05227027
0.0049551367,-0.024975266,-0.049112473
0.004648871,-0.026021566,-0.0461304
0.0043603373,-0.026792563,-0.04332721
0.0040891413,-0.027289852,-0.040693123
0.0038345943,-0.027533874,-0.038216483
0.0035966728,-0.027560666,-0.03589359
0.003376595,-0.027417263,-0.03373459
0.0031768323,-0.02715644,-0.031763546
0.0030005227,-0.026831403,-0.030012416
0.0028504261,-0.026491117,-0.028510416
0.0027277276,-0.02617674,-0.027271789
0.002631078,-0.025919335,-0.02628595
0.0025562074,-0.025738826,-0.025513362
0.002496295,-0.025643941,-0.024888918
0.0024430454,-0.0256329,-0.024332475
0.0023882247,-0.025694586,-0.023763947
0.0023252228,-0.02581029,-0.023118801
0.0022501904,-0.025956059,-0.022359386
0.0021623801,-0.026105788,-0.021478446
0.0020635654,-0.026234811,-0.020493545
0.0019566824,-0.026323648,-0.019433709
0.0018440878,-0.026361149,-0.018322267
0.0017259668,-0.026346281,-0.017161012
0.0015993534,-0.026288047,-0.015920399
0.0014580302,-0.026203472,-0.014538366
0.0012932819,-0.026114006,-0.012927636
0.0010952753,-0.026041199,-0.010989275
0.00085474073,-0.026002334,-0.008629367
0.00056461454,-0.026006896,-0.0057753976
0.0002213372,-0.026054101,-0.00238936
-0.00017440555,-0.026131917,0.0015246212
-0.00061757094,-0.026217714,0.0059188977
-0.0010992228,-0.026280757,0.010706663
-0.0016074426,-0.02628633,0.01577083
-0.0021285368,-0.02620074,0.020975923
-0.0026483792,-0.025996117,0.026181359
-0.003153733,-0.025654167,0.03125464
-0.0036334137,-0.025168309,0.03608298
-0.0040791286,-0.02454413,0.040581785
-0.004485839,-0.023798278,0.04469852
-0.0048515727,-0.022956077,0.048410997
-0.005176754,-0.02204819,0.051721063
-0.0054633254,-0.021106796,0.054646086
-0.0057139657,-0.020161772,0.057211366
-0.005931584,-0.019237384,0.05944517
-0.006119126,-0.018349927,0.061376706
-0.0062796087,-0.017506314,0.063036256
-0.006416317,-0.016703494,0.064456865
-0.0065331124,-0.015928453,0.06567714
-0.006634736,-0.015159055,0.0667441
-0.006726965,-0.014366206,0.06771455
-0.0068164724,-0.013517676,0.068653755
-0.0069103343,-0.012583362,0.069630556
