dataset,window_index,overall_mse,per_channel_mse,worst_channel_idx,avg_corr_worst_channel,num_high_error_channels,predicted_fault,mu_latent
Normal,10,0.12503565847873688,"[0.08995038270950317, 0.02575812116265297, 0.027782851830124855, 0.05619930103421211, 0.17993122339248657, 0.09743554145097733, 0.3191581666469574, 0.1249077320098877, 0.1876145601272583, 0.1818043291568756, 0.12701824307441711, 0.0828673392534256]",6,0.13060472734430403,1,Ambiguous_Moderate_Error,"[-0.038943756371736526, 0.007279872894287109, 0.04504597187042236, 0.1340610533952713, -0.0011378265917301178, 0.10959937423467636, -0.004374053329229355, -0.0805479884147644, 0.06284065544605255, 0.1439334601163864, -0.10521034896373749, -0.9683911800384521, 0.047213271260261536, -2.616997718811035, 0.0999981015920639, 0.0584174245595932]"
Normal,11,0.10770675539970398,"[0.04257481172680855, 0.02712087333202362, 0.05078646168112755, 0.04974572733044624, 0.09004218876361847, 0.09493953734636307, 0.29729098081588745, 0.18842235207557678, 0.08293604105710983, 0.10235414654016495, 0.16845285892486572, 0.09781503677368164]",6,0.1289193470010604,1,Ambiguous_Moderate_Error,"[-0.038824696093797684, 0.015402227640151978, 0.0411444753408432, 0.0999751016497612, -0.0012541301548480988, 0.126260906457901, 0.0049788691103458405, -0.07202798128128052, 0.06528504192829132, 0.2518582344055176, -0.11107359826564789, -0.9084050059318542, 0.04954211413860321, -2.612969398498535, 0.09209500253200531, 0.050002455711364746]"
Normal,12,0.2530350685119629,"[0.1995752900838852, 0.05868887901306152, 0.07838235795497894, 0.04834024980664253, 0.3886135220527649, 0.24485856294631958, 0.5298197269439697, 0.16656024754047394, 0.4648425281047821, 0.40481680631637573, 0.3160659372806549, 0.13585689663887024]",6,0.1226710654787588,6,Structural Fault,"[-0.03550754487514496, 0.02314039319753647, 0.03593568503856659, 0.06267853826284409, -0.002185586839914322, 0.14470964670181274, 0.013063643127679825, -0.062495749443769455, 0.06556759774684906, 0.3553023934364319, -0.11650107800960541, -0.8455685377120972, 0.0519738644361496, -2.6064257621765137, 0.08458717167377472, 0.04142126441001892]"
Normal,13,0.1323021501302719,"[0.06304486840963364, 0.045328039675951004, 0.062322333455085754, 0.039608392864465714, 0.09169391542673111, 0.08642009645700455, 0.32739269733428955, 0.18217384815216064, 0.08679556846618652, 0.11218896508216858, 0.304424524307251, 0.1862325519323349]",6,0.11127483545423393,2,Ambiguous_Moderate_Error,"[-0.030561015009880066, 0.030736461281776428, 0.029422283172607422, 0.022985849529504776, -0.0036810077726840973, 0.1626564860343933, 0.01935117319226265, -0.052201610058546066, 0.06431274116039276, 0.45551377534866333, -0.1205262839794159, -0.7789311408996582, 0.05345563590526581, -2.596266269683838, 0.07706891000270844, 0.032902784645557404]"
Normal,14,0.06920231133699417,"[0.035665012896060944, 0.012621307745575905, 0.03152880445122719, 0.02232171595096588, 0.08042635023593903, 0.05780612304806709, 0.20464371144771576, 0.126732736825943, 0.08088298887014389, 0.08493438363075256, 0.06477430462837219, 0.028090205043554306]",6,0.09436700735405856,1,Ambiguous_Moderate_Error,"[-0.02576560527086258, 0.03816354274749756, 0.021672576665878296, -0.018969353288412094, -0.005363572388887405, 0.17827048897743225, 0.023719314485788345, -0.04146989807486534, 0.06184723228216171, 0.5537934899330139, -0.122159942984581, -0.7080563902854919, 0.053055718541145325, -2.5812673568725586, 0.06912513077259064, 0.02477213740348816]"
Normal,15,0.06241540238261223,"[0.02589563839137554, 0.01811852678656578, 0.03754251077771187, 0.021549923345446587, 0.04519207775592804, 0.05000504106283188, 0.17410339415073395, 0.1282656192779541, 0.04061921685934067, 0.054479099810123444, 0.09821397066116333, 0.05499991029500961]",6,0.10788311480439045,0,Ambiguous_Moderate_Error,"[-0.022843055427074432, 0.045129790902137756, 0.012743234634399414, -0.06338503211736679, -0.0068408288061618805, 0.1900637447834015, 0.02633501961827278, -0.030836071819067, 0.05839889869093895, 0.6513200998306274, -0.12050430476665497, -0.6325225830078125, 0.050085559487342834, -2.5601134300231934, 0.060343850404024124, 0.01720821112394333]"
Normal,16,0.05841498076915741,"[0.012987264432013035, 0.012621433474123478, 0.04423621669411659, 0.020855462178587914, 0.03548334166407585, 0.045090075582265854, 0.16298288106918335, 0.10967115312814713, 0.022456200793385506, 0.05747668817639351, 0.12934952974319458, 0.04776943847537041]",6,0.12179673741937219,0,Ambiguous_Moderate_Error,"[-0.02322641760110855, 0.051163263618946075, 0.002699635922908783, -0.11046946793794632, -0.007850948721170425, 0.19702738523483276, 0.027554381638765335, -0.02114909514784813, 0.054148320108652115, 0.7489131093025208, -0.11497192084789276, -0.5514460802078247, 0.04424495995044708, -2.531343936920166, 0.050396036356687546, 0.010128498077392578]"
Normal,17,0.1990806758403778,"[0.13998621702194214, 0.056318074464797974, 0.11093537509441376, 0.02902339957654476, 0.24070779979228973, 0.2120840847492218, 0.28318867087364197, 0.13567471504211426, 0.31673598289489746, 0.3759317100048065, 0.39326485991477966, 0.09511735290288925]",10,0.4516304190786118,6,Structural Fault,"[-0.027874678373336792, 0.05571860820055008, -0.008264236152172089, -0.1600332111120224, -0.008350629359483719, 0.19888421893119812, 0.027835268527269363, -0.013545263558626175, 0.04912407323718071, 0.8468065857887268, -0.10553930699825287, -0.46329250931739807, 0.03583581745624542, -2.493535041809082, 0.03923853114247322, 0.0032979175448417664]"
Normal,18,0.09115927666425705,"[0.04004986584186554, 0.011554274708032608, 0.07441938668489456, 0.011357972398400307, 0.08694257587194443, 0.08782022446393967, 0.13451972603797913, 0.11075574904680252, 0.08744286745786667, 0.10901127010583878, 0.26612982153892517, 0.0739075168967247]",10,0.4364496273652415,1,Ambiguous_Moderate_Error,"[-0.0371258407831192, 0.05822230130434036, -0.019700393080711365, -0.2109948694705963, -0.008445490151643753, 0.19624346494674683, 0.02766093984246254, -0.00927640125155449, 0.0431407205760479, 0.9445239901542664, -0.09289458394050598, -0.36617955565452576, 0.025920584797859192, -2.445955276489258, 0.027334999293088913, -0.0033474862575531006]"
Normal,19,0.05518566071987152,"[0.015326814725995064, 0.011574282310903072, 0.05417712777853012, 0.015683241188526154, 0.03281839191913605, 0.05063954368233681, 0.07928904891014099, 0.07681050896644592, 0.032429151237010956, 0.05704854801297188, 0.16843555867671967, 0.06799571216106415]",10,0.4186476838973133,0,Ambiguous_Moderate_Error,"[-0.05056731402873993, 0.0581173375248909, -0.030857540667057037, -0.26109445095062256, -0.008180949836969376, 0.19051605463027954, 0.027463126927614212, -0.00937744602560997, 0.03595852479338646, 1.040928602218628, -0.07838951051235199, -0.2585586607456207, 0.01618911325931549, -2.3895263671875, 0.01573709025979042, -0.009349018335342407]"
