x1,v1,a1
-0.0055118436,-0.022522546,0.055254463
-0.005762821,-0.021935642,0.0577516
-0.005998491,-0.021309203,0.060096566
-0.006203445,-0.020731322,0.06210823
-0.006422925,-0.020091409,0.06424233
-0.0066344664,-0.019307997,0.06630775
-0.0068406407,-0.018571744,0.06833436
-0.0070235594,-0.01789713,0.070138745
-0.0072064414,-0.01716648,0.071942545
-0.007382418,-0.016384948,0.0736898
-0.0075686034,-0.015623409,0.07555216
-0.00774291,-0.014857913,0.07731024
-0.007869078,-0.014197561,0.07861594
-0.007995766,-0.013452599,0.07991569
-0.008139994,-0.012586932,0.08135087
-0.008285855,-0.011580148,0.08277401
-0.00842132,-0.010562273,0.08407477
-0.0085077435,-0.009782685,0.08494462
-0.0085821245,-0.009034139,0.08569828
-0.008634735,-0.008356278,0.08622077
-0.0087168915,-0.0074718827,0.08700284
-0.008771377,-0.006384009,0.08750137
-0.008848958,-0.0054789,0.08823776
-0.008900053,-0.0044672824,0.088730365
-0.008943338,-0.0035556215,0.08915912
-0.008970843,-0.0027943007,0.089454666
-0.008989093,-0.0019214712,0.08967766
-0.009000105,-0.0010312059,0.08983428
-0.008988944,-3.3915043e-05,0.0897438
-0.0088128075,0.0005658801,0.08803697
-0.008781175,0.0012845935,0.08775425
-0.0086320825,0.0019307263,0.08631676
-0.00857434,0.0026962082,0.085743204
-0.008538667,0.0035150733,0.0853621
-0.008504859,0.0044273334,0.08500657
-0.008446102,0.005318073,0.084394895
-0.008386842,0.00616251,0.08379322
-0.008295903,0.0071287625,0.082878806
-0.008240782,0.0077978945,0.08233609
-0.008160674,0.008561118,0.08154186
-0.007979629,0.009000234,0.07977348
-0.007854167,0.009726919,0.07852456
-0.0077746944,0.010395419,0.07773755
-0.007653468,0.011299332,0.07653042
-0.007531429,0.012085636,0.07532358
-0.0074148667,0.012763446,0.07416963
-0.007217015,0.013757287,0.0721667
-0.0070667923,0.014358291,0.07065498
-0.006950907,0.015064327,0.06947374
-0.0067836717,0.015891088,0.067796074
-0.0066117775,0.01664697,0.06608447
